"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","2020-05-17",,"90","106",
"IN022023000","NEW DELHI PALAM, IN","2020-05-18",,"92",,"74"
"IN022023000","NEW DELHI PALAM, IN","2020-05-19",,"93",,
"IN022023000","NEW DELHI PALAM, IN","2020-05-20",,"93","109","72"
"IN022023000","NEW DELHI PALAM, IN","2020-05-21",,"95",,"73"
"IN022023000","NEW DELHI PALAM, IN","2020-05-22",,"98","114","76"
"IN022023000","NEW DELHI PALAM, IN","2020-05-23",,"100","114","82"
"IN022023000","NEW DELHI PALAM, IN","2020-05-24",,"100","114",
"IN022023000","NEW DELHI PALAM, IN","2020-05-25",,"99",,"80"
"IN022023000","NEW DELHI PALAM, IN","2020-05-26",,"101","115","84"
"IN022023000","NEW DELHI PALAM, IN","2020-05-27",,"101","118","83"
"IN022023000","NEW DELHI PALAM, IN","2020-05-28",,"90","117",
"IN022023000","NEW DELHI PALAM, IN","2020-05-29","0.12","84","107","72"
"IN022023000","NEW DELHI PALAM, IN","2020-05-30","0.12","83","97","72"
"IN022023000","NEW DELHI PALAM, IN","2020-05-31","0.20","78","97","68"
"IN022023000","NEW DELHI PALAM, IN","2020-06-01","0.43","85",,"68"
"IN022023000","NEW DELHI PALAM, IN","2020-06-02","0.00","88",,"74"
"IN022023000","NEW DELHI PALAM, IN","2020-06-03",,"89",,"76"
"IN022023000","NEW DELHI PALAM, IN","2020-06-04",,"83","102","77"
"IN022023000","NEW DELHI PALAM, IN","2020-06-05",,"84","99","74"
"IN022023000","NEW DELHI PALAM, IN","2020-06-06",,"87",,"74"
"IN022023000","NEW DELHI PALAM, IN","2020-06-07","0.28","85","101","70"
"IN022023000","NEW DELHI PALAM, IN","2020-06-08","0.04","91",,"76"
"IN022023000","NEW DELHI PALAM, IN","2020-06-09","0.00","96",,"79"
"IN022023000","NEW DELHI PALAM, IN","2020-06-10",,"93",,"83"
"IN022023000","NEW DELHI PALAM, IN","2020-06-11",,"95","110","80"
"IN022023000","NEW DELHI PALAM, IN","2020-06-12",,"96","108","84"
"IN022023000","NEW DELHI PALAM, IN","2020-06-13",,"90","108",
"IN022023000","NEW DELHI PALAM, IN","2020-06-14",,"95","108","81"
"IN022023000","NEW DELHI PALAM, IN","2020-06-15",,"97","107","83"
"IN022023000","NEW DELHI PALAM, IN","2020-06-16",,"96","110","84"
"IN022023000","NEW DELHI PALAM, IN","2020-06-17",,"95","106","84"
"IN022023000","NEW DELHI PALAM, IN","2020-06-18",,"98",,"81"
"IN022023000","NEW DELHI PALAM, IN","2020-06-19",,"97","112","85"
"IN022023000","NEW DELHI PALAM, IN","2020-06-20",,"89","110",
"IN022023000","NEW DELHI PALAM, IN","2020-06-21","0.04","89","104","77"
"IN022023000","NEW DELHI PALAM, IN","2020-06-22","0.04","90","101","76"
"IN022023000","NEW DELHI PALAM, IN","2020-06-23","0.00","90","101","81"
"IN022023000","NEW DELHI PALAM, IN","2020-06-24",,"87","102",
"IN022023000","NEW DELHI PALAM, IN","2020-06-25",,"89","103","83"
"IN022023000","NEW DELHI PALAM, IN","2020-06-26",,"91","103","84"
"IN022023000","NEW DELHI PALAM, IN","2020-06-27",,"94",,"85"
"IN022023000","NEW DELHI PALAM, IN","2020-06-28",,"99","109","87"
"IN022023000","NEW DELHI PALAM, IN","2020-06-29",,"93","109",
"IN022023000","NEW DELHI PALAM, IN","2020-06-30",,"92","108",
"IN022023000","NEW DELHI PALAM, IN","2020-07-01",,"94","105","86"
"IN022023000","NEW DELHI PALAM, IN","2020-07-02",,"96",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-03",,"94",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-04",,"90","110",
"IN022023000","NEW DELHI PALAM, IN","2020-07-05","1.93","84","101","74"
"IN022023000","NEW DELHI PALAM, IN","2020-07-06","0.00","88",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-07",,"85","99",
"IN022023000","NEW DELHI PALAM, IN","2020-07-08",,"86",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-09",,"90",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-10",,"92",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-11","0.12","90","102",
"IN022023000","NEW DELHI PALAM, IN","2020-07-12","0.00","85","99",
"IN022023000","NEW DELHI PALAM, IN","2020-07-13",,"89",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-14",,"93","103","83"
"IN022023000","NEW DELHI PALAM, IN","2020-07-15",,"90","103",
"IN022023000","NEW DELHI PALAM, IN","2020-07-16","0.00","90",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-17",,"90","101",
"IN022023000","NEW DELHI PALAM, IN","2020-07-18",,"89","99",
"IN022023000","NEW DELHI PALAM, IN","2020-07-19","0.67","86","99",
"IN022023000","NEW DELHI PALAM, IN","2020-07-20","0.12","83",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-21","0.28","80","91",
"IN022023000","NEW DELHI PALAM, IN","2020-07-22","1.38","79","91","75"
"IN022023000","NEW DELHI PALAM, IN","2020-07-23","3.19","85",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-24","0.00","85",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-25","0.91","86",,"78"
"IN022023000","NEW DELHI PALAM, IN","2020-07-26","0.00","89",,
"IN022023000","NEW DELHI PALAM, IN","2020-07-27",,"89",,"83"
"IN022023000","NEW DELHI PALAM, IN","2020-07-28",,"91","100","84"
"IN022023000","NEW DELHI PALAM, IN","2020-07-29",,"84","100",
"IN022023000","NEW DELHI PALAM, IN","2020-07-30",,"83","99","78"
"IN022023000","NEW DELHI PALAM, IN","2020-07-31",,"87",,"81"
"IN022023000","NEW DELHI PALAM, IN","2020-08-01","0.00","85","95",
"IN022023000","NEW DELHI PALAM, IN","2020-08-02","0.24","88",,"80"
"IN022023000","NEW DELHI PALAM, IN","2020-08-03","0.39","89","99","82"
"IN022023000","NEW DELHI PALAM, IN","2020-08-04","0.00","90","99","83"
